id,Transcript,QX1410,transcript_CTROP,structure
OG0000429,0,1,9,none:one:many
OG0000430,0,1,9,none:one:many
OG0000431,4,3,3,many:many:many
OG0000432,4,3,3,many:many:many
OG0000433,2,7,1,many:many:one
OG0000434,0,10,0,none:many:none
OG0000435,6,2,2,many:many:many
OG0000436,1,5,4,one:many:many
OG0000437,0,10,0,none:many:none
OG0000438,0,1,9,none:one:many
OG0000439,0,9,1,none:many:one
OG0000440,0,2,8,none:many:many
OG0000441,4,2,4,many:many:many
OG0000442,1,5,4,one:many:many
OG0000443,1,4,5,one:many:many
OG0000444,1,5,4,one:many:many
OG0000445,3,4,3,many:many:many
OG0000446,7,1,2,many:one:many
OG0000447,3,3,4,many:many:many
OG0000448,2,5,3,many:many:many
OG0000449,0,4,6,none:many:many
OG0000450,3,2,5,many:many:many
OG0000451,6,1,3,many:one:many
OG0000452,3,4,3,many:many:many
OG0000453,3,3,4,many:many:many
OG0000454,0,10,0,none:many:none
OG0000455,2,3,5,many:many:many
OG0000456,2,3,5,many:many:many
OG0000457,0,10,0,none:many:none
OG0000458,3,3,4,many:many:many
OG0000459,6,2,2,many:many:many
OG0000460,1,1,8,one:one:many
OG0000461,8,1,1,many:one:one
OG0000462,1,1,8,one:one:many
OG0000463,6,0,4,many:none:many
OG0000464,9,0,1,many:none:one
OG0000465,10,0,0,many:none:none
OG0000466,10,0,0,many:none:none
OG0000467,6,0,4,many:none:many
OG0000468,10,0,0,many:none:none
OG0000469,1,0,9,one:none:many
OG0000470,0,0,10,none:none:many
OG0000471,0,0,10,none:none:many
OG0000472,0,0,10,none:none:many
OG0000473,0,0,10,none:none:many
OG0000474,0,9,0,none:many:none
OG0000475,0,9,0,none:many:none
OG0000476,3,5,1,many:many:one
OG0000477,2,2,5,many:many:many
OG0000478,3,4,2,many:many:many
OG0000479,2,4,3,many:many:many
OG0000480,4,4,1,many:many:one
OG0000481,4,4,1,many:many:one
OG0000482,6,2,1,many:many:one
OG0000483,5,3,1,many:many:one
OG0000484,2,6,1,many:many:one
OG0000485,5,2,2,many:many:many
OG0000486,4,1,4,many:one:many
OG0000487,4,4,1,many:many:one
OG0000488,3,4,2,many:many:many
OG0000489,3,3,3,many:many:many
OG0000490,1,8,0,one:many:none
OG0000491,0,9,0,none:many:none
OG0000492,0,9,0,none:many:none
OG0000493,0,3,6,none:many:many
OG0000494,3,3,3,many:many:many
OG0000495,8,1,0,many:one:none
OG0000496,5,2,2,many:many:many
OG0000497,0,9,0,none:many:none
OG0000498,1,4,4,one:many:many
OG0000499,6,2,1,many:many:one
OG0000500,4,3,2,many:many:many
OG0000501,0,9,0,none:many:none
OG0000502,4,2,3,many:many:many
OG0000503,3,3,3,many:many:many
OG0000504,6,2,1,many:many:one
OG0000505,7,1,1,many:one:one
OG0000506,3,3,3,many:many:many
OG0000507,1,1,7,one:one:many
OG0000508,0,9,0,none:many:none
OG0000509,4,3,2,many:many:many
OG0000510,3,2,4,many:many:many
OG0000511,4,2,3,many:many:many
OG0000512,5,2,2,many:many:many
OG0000513,3,2,4,many:many:many
OG0000514,7,1,1,many:one:one
OG0000515,4,3,2,many:many:many
OG0000516,3,3,3,many:many:many
OG0000517,3,1,5,many:one:many
OG0000518,6,1,2,many:one:many
OG0000519,3,3,3,many:many:many
OG0000520,3,3,3,many:many:many
OG0000521,0,2,7,none:many:many
OG0000522,5,2,2,many:many:many
OG0000523,1,3,5,one:many:many
OG0000524,0,8,1,none:many:one
OG0000525,0,9,0,none:many:none
OG0000526,0,9,0,none:many:none
OG0000527,0,4,5,none:many:many
OG0000528,3,5,1,many:many:one
OG0000529,2,5,2,many:many:many
OG0000530,4,3,2,many:many:many
OG0000531,4,2,3,many:many:many
OG0000532,3,2,4,many:many:many
OG0000533,0,9,0,none:many:none
OG0000534,2,3,4,many:many:many
OG0000535,5,2,2,many:many:many
OG0000536,6,2,1,many:many:one
OG0000537,2,2,5,many:many:many
OG0000538,2,3,4,many:many:many
OG0000539,2,3,4,many:many:many
OG0000540,3,3,3,many:many:many
OG0000541,5,3,1,many:many:one
OG0000542,1,2,6,one:many:many
OG0000543,1,4,4,one:many:many
OG0000544,3,4,2,many:many:many
OG0000545,0,7,2,none:many:many
OG0000546,2,3,4,many:many:many
OG0000547,3,3,3,many:many:many
OG0000548,5,2,2,many:many:many
OG0000549,6,1,2,many:one:many
OG0000550,3,4,2,many:many:many
OG0000551,5,2,2,many:many:many
OG0000552,3,1,5,many:one:many
OG0000553,3,2,4,many:many:many
OG0000554,3,2,4,many:many:many
OG0000555,3,3,3,many:many:many
OG0000556,0,9,0,none:many:none
OG0000557,2,4,3,many:many:many
OG0000558,0,8,1,none:many:one
OG0000559,8,1,0,many:one:none
OG0000560,6,2,1,many:many:one
OG0000561,6,1,2,many:one:many
OG0000562,3,3,3,many:many:many
OG0000563,7,1,1,many:one:one
OG0000564,0,2,7,none:many:many
OG0000565,0,9,0,none:many:none
OG0000566,0,7,2,none:many:many
OG0000567,0,4,5,none:many:many
OG0000568,2,6,1,many:many:one
OG0000569,2,1,6,many:one:many
OG0000570,7,2,0,many:many:none
OG0000571,1,7,1,one:many:one
OG0000572,4,2,3,many:many:many
OG0000573,6,1,2,many:one:many
OG0000574,6,1,2,many:one:many
OG0000575,3,4,2,many:many:many
OG0000576,1,1,7,one:one:many
OG0000577,0,2,7,none:many:many
OG0000578,2,2,5,many:many:many
OG0000579,1,7,1,one:many:one
OG0000580,7,1,1,many:one:one
OG0000581,1,1,7,one:one:many
OG0000582,0,9,0,none:many:none
OG0000583,1,1,7,one:one:many
OG0000584,1,5,3,one:many:many
OG0000585,6,2,1,many:many:one
OG0000586,7,1,1,many:one:one
OG0000587,7,1,1,many:one:one
OG0000588,1,1,7,one:one:many
OG0000589,5,1,3,many:one:many
OG0000590,4,2,3,many:many:many
OG0000591,1,6,2,one:many:many
OG0000592,0,1,8,none:one:many
OG0000593,1,1,7,one:one:many
OG0000594,8,1,0,many:one:none
OG0000595,3,0,6,many:none:many
OG0000596,9,0,0,many:none:none
OG0000597,9,0,0,many:none:none
OG0000598,9,0,0,many:none:none
OG0000599,5,0,4,many:none:many
OG0000600,1,0,8,one:none:many
OG0000601,0,0,9,none:none:many
OG0000602,0,0,9,none:none:many
OG0000603,0,0,9,none:none:many
OG0000604,0,0,9,none:none:many
OG0000605,0,0,9,none:none:many
OG0000606,0,0,9,none:none:many
OG0000607,0,0,9,none:none:many
OG0000608,0,0,9,none:none:many
OG0000609,0,0,9,none:none:many
OG0000610,0,0,9,none:none:many
OG0000611,0,0,9,none:none:many
OG0000612,2,3,3,many:many:many
OG0000613,3,2,3,many:many:many
OG0000614,0,8,0,none:many:none
OG0000615,3,1,4,many:one:many
OG0000616,2,3,3,many:many:many
OG0000617,2,3,3,many:many:many
OG0000618,1,4,3,one:many:many
OG0000619,3,3,2,many:many:many
OG0000620,1,4,3,one:many:many
OG0000621,0,8,0,none:many:none
OG0000622,1,7,0,one:many:none
OG0000623,4,2,2,many:many:many
OG0000624,3,3,2,many:many:many
OG0000625,0,7,1,none:many:one
OG0000626,4,2,2,many:many:many
OG0000627,3,3,2,many:many:many
OG0000628,1,2,5,one:many:many
OG0000629,3,2,3,many:many:many
OG0000630,1,6,1,one:many:one
OG0000631,0,8,0,none:many:none
OG0000632,0,2,6,none:many:many
OG0000633,4,2,2,many:many:many
OG0000634,1,1,6,one:one:many
OG0000635,0,8,0,none:many:none
OG0000636,0,1,7,none:one:many
OG0000637,2,3,3,many:many:many
OG0000638,0,2,6,none:many:many
OG0000639,3,2,3,many:many:many
OG0000640,2,4,2,many:many:many
OG0000641,4,1,3,many:one:many
OG0000642,6,1,1,many:one:one
OG0000643,4,2,2,many:many:many
OG0000644,2,4,2,many:many:many
OG0000645,3,3,2,many:many:many
OG0000646,1,1,6,one:one:many
OG0000647,4,2,2,many:many:many
OG0000648,3,3,2,many:many:many
OG0000649,4,1,3,many:one:many
OG0000650,3,1,4,many:one:many
OG0000651,0,3,5,none:many:many
OG0000652,6,1,1,many:one:one
OG0000653,4,3,1,many:many:one
OG0000654,0,8,0,none:many:none
OG0000655,2,2,4,many:many:many
OG0000656,0,8,0,none:many:none
OG0000657,0,7,1,none:many:one
OG0000658,2,6,0,many:many:none
OG0000659,0,2,6,none:many:many
OG0000660,3,1,4,many:one:many
OG0000661,0,8,0,none:many:none
OG0000662,4,2,2,many:many:many
OG0000663,3,3,2,many:many:many
OG0000664,3,4,1,many:many:one
OG0000665,6,1,1,many:one:one
OG0000666,3,2,3,many:many:many
OG0000667,2,3,3,many:many:many
OG0000668,1,1,6,one:one:many
OG0000669,1,1,6,one:one:many
OG0000670,0,8,0,none:many:none
OG0000671,4,1,3,many:one:many
OG0000672,0,8,0,none:many:none
OG0000673,1,2,5,one:many:many
OG0000674,3,3,2,many:many:many
OG0000675,4,3,1,many:many:one
OG0000676,2,3,3,many:many:many
OG0000677,4,2,2,many:many:many
OG0000678,1,2,5,one:many:many
OG0000679,3,3,2,many:many:many
OG0000680,0,8,0,none:many:none
OG0000681,3,2,3,many:many:many
OG0000682,1,1,6,one:one:many
OG0000683,4,2,2,many:many:many
OG0000684,4,4,0,many:many:none
OG0000685,0,8,0,none:many:none
OG0000686,4,2,2,many:many:many
OG0000687,0,8,0,none:many:none
OG0000688,3,3,2,many:many:many
OG0000689,4,2,2,many:many:many
OG0000690,1,5,2,one:many:many
OG0000691,0,8,0,none:many:none
OG0000692,2,3,3,many:many:many
OG0000693,2,3,3,many:many:many
OG0000694,2,4,2,many:many:many
OG0000695,6,1,1,many:one:one
OG0000696,3,2,3,many:many:many
OG0000697,2,3,3,many:many:many
OG0000698,3,1,4,many:one:many
